#Time Flux Flux-Trend Trend
2857.04858409 0.94956230 0.96105121 -0.01148891
2857.06901575 0.95051290 0.96117174 -0.01065884
2857.08944730 0.95200179 0.96176304 -0.00976125
2857.10987906 0.95483207 0.96383310 -0.00900103
2857.13031072 0.95588324 0.96408104 -0.00819781
2857.15074248 0.95783000 0.96560174 -0.00777174
2857.17117403 0.95923747 0.96577127 -0.00653380
2857.19160569 0.96002288 0.96544903 -0.00542615
2857.21203745 0.96155919 0.96588402 -0.00432483
2857.23246900 0.96541992 0.96888262 -0.00346270
2857.25290066 0.97503394 0.97772748 -0.00269355
2857.27333241 0.98573043 0.98771489 -0.00198446
2857.29376407 0.99666147 0.99805632 -0.00139485
2857.33462738 1.00749112 1.00796449 -0.00047337
2857.35505904 1.00820259 1.00840433 -0.00020174
2857.37549059 1.00740072 1.00737606 0.00002466
2857.39592235 1.00732186 1.00712217 0.00019969
2857.41635390 1.00686638 1.00625600 0.00061038
2857.43678556 1.00780883 1.00679528 0.00101355
2857.45721731 1.00991831 1.00864359 0.00127472
2857.47764887 1.01077045 1.00950915 0.00126131
2857.49808062 1.01165481 1.01077675 0.00087806
2857.51851228 1.01167163 1.01146697 0.00020467
2857.53894383 1.01187303 1.01232339 -0.00045035
2857.60023879 1.01383698 1.01628866 -0.00245168
2857.62067055 1.01183264 1.01493599 -0.00310335
2857.64110220 1.01050719 1.01429163 -0.00378443
2857.66153385 1.00960179 1.01416228 -0.00456050
2857.68196551 1.00891456 1.01421257 -0.00529802
2857.70239716 1.00833062 1.01432589 -0.00599526
2857.72282881 1.00631285 1.01307041 -0.00675756
2857.74326046 1.00565980 1.01256357 -0.00690376
2857.76369212 1.00448689 1.01159630 -0.00710941
2857.78412377 1.00439087 1.01218250 -0.00779163
2857.80455552 1.00416541 1.01246118 -0.00829577
2857.82498707 1.00233908 1.01105645 -0.00871737
2857.84541883 0.99996661 1.00914145 -0.00917484
2857.86585048 0.99798294 1.00761512 -0.00963219
2857.88628203 0.99567660 1.00562666 -0.00995007
2857.90671378 0.99288231 1.00315030 -0.01026800
2857.92714543 0.99146798 1.00206338 -0.01059539
2857.94757698 0.98957908 1.00047823 -0.01089915
2857.96800873 0.98776392 0.99893301 -0.01116910
2857.98844038 0.98544595 0.99678370 -0.01133774
2858.00887194 0.98287238 0.99398216 -0.01110978
2858.02930369 0.97992264 0.99047246 -0.01054981
2858.04973534 0.97868693 0.98864757 -0.00996064
2858.07016689 0.97666043 0.98603030 -0.00936987
2858.09059864 0.97359895 0.98274084 -0.00914190
2858.11103029 0.97104206 0.97975347 -0.00871141
2858.13146204 0.97054743 0.97868270 -0.00813527
2858.15189359 0.96955988 0.97712707 -0.00756719
2858.17232524 0.96453205 0.97154003 -0.00700798
2858.19275689 0.94290648 0.94926570 -0.00635921
2858.21318853 0.91108785 0.91670837 -0.00562052
2858.23362018 0.87820347 0.88313905 -0.00493558
2858.25405183 0.85766374 0.86209618 -0.00443245
2858.27448348 0.85424822 0.85808052 -0.00383229
2858.29491513 0.85343299 0.85655672 -0.00312373
2858.31534678 0.85411821 0.85649488 -0.00237667
2858.33577843 0.85499113 0.85665176 -0.00166063
2858.35621007 0.85617993 0.85748070 -0.00130077
2858.37664182 0.85796326 0.85943024 -0.00146699
2858.39707337 0.86064024 0.86169939 -0.00105915
2858.56052665 0.98892998 0.98995251 -0.00102254
2858.58095820 0.99005085 0.99202758 -0.00197672
2858.60138994 0.99079668 0.99344669 -0.00265000
2858.62182159 0.99232052 0.99545958 -0.00313906
2858.64225323 0.99345815 0.99713285 -0.00367470
2858.66268488 0.99480610 0.99896732 -0.00416122
2858.68311653 0.99627905 1.00090119 -0.00462214
2858.70354817 0.99703717 1.00207764 -0.00504047
2858.72397982 0.99801332 1.00339911 -0.00538579
2858.74441146 0.99798523 1.00422730 -0.00624207
2858.76484321 0.99843530 1.00541631 -0.00698101
2858.78527485 0.99977284 1.00719944 -0.00742661
2858.80570640 1.00099501 1.00870242 -0.00770741
2858.82613804 1.00252507 1.01036996 -0.00784490
2858.84656979 1.00372984 1.01147166 -0.00774182
2858.86700133 1.00452342 1.01199328 -0.00746986
2858.88743308 1.00647796 1.01349002 -0.00701206
2858.90786462 1.00779233 1.01418413 -0.00639180
2858.92829627 1.00967836 1.01504611 -0.00536775
2858.94872801 1.01157700 1.01574100 -0.00416400
2858.96915955 1.01315728 1.01611676 -0.00295948
2858.98959120 1.01446827 1.01590173 -0.00143347
2859.01002294 1.01574064 1.01560792 0.00013272
2859.03045448 1.01753406 1.01566149 0.00187257
2859.05088613 1.01964983 1.01597444 0.00367539
2859.07131787 1.01979355 1.01431126 0.00548229
2859.09174941 1.02198616 1.01472371 0.00726245
2859.11218116 1.02334171 1.01504426 0.00829744
2859.13261280 1.02433654 1.01435783 0.00997871
2859.15304434 1.02585114 1.01436228 0.01148887
2859.17347608 1.02579294 1.01303372 0.01275922
2859.19390773 1.02616699 1.01231031 0.01385668
2859.21433937 1.02665637 1.01191577 0.01474060
2859.23477101 1.02606068 1.01049481 0.01556587
2859.25520265 1.02632005 1.01016189 0.01615816
2859.29606594 1.02329171 1.00710420 0.01618751
2859.31649758 1.02228396 1.00637224 0.01591172
2859.33692922 1.02013064 1.00490890 0.01522174
2859.35736096 1.01793235 1.00277177 0.01516058
2859.37779250 1.01515905 1.00094673 0.01421232
2859.39822424 1.00781345 0.99479125 0.01302219
2859.41865588 0.99456796 0.98288031 0.01168765
2859.43908742 0.98051402 0.97035867 0.01015535
2859.45951917 0.97130318 0.96206457 0.00923861
2859.47995081 0.96837899 0.96070534 0.00767366
2859.50038235 0.96637387 0.96040761 0.00596627
2859.54124563 0.96616259 0.96318732 0.00297527
2859.56167727 0.96377345 0.96210462 0.00166884
2859.58210901 0.96155269 0.96120991 0.00034278
2859.60254065 0.95985582 0.96059504 -0.00073923
2859.62297219 0.95842804 0.95999958 -0.00157154
2859.64340392 0.95858040 0.96061245 -0.00203206
2859.66383546 0.96186072 0.96420959 -0.00234887
2859.68426710 0.97180866 0.97416145 -0.00235279
2859.70469884 0.98503525 0.98690025 -0.00186501
2859.72513048 0.99489499 0.99656440 -0.00166941
2859.74556212 0.99801845 0.99916636 -0.00114791
2859.76599376 1.00005272 1.00045215 -0.00039943
2859.78642540 1.00339117 1.00284266 0.00054851
2859.80685704 1.00559155 1.00395920 0.00163235
2859.82728867 1.00828417 1.00550363 0.00278054
2859.84772031 1.01141861 1.00728478 0.00413383
2859.86815205 1.01316959 1.00765133 0.00551826
2859.88858359 1.01638264 1.00953543 0.00684721
2859.90901523 1.01987752 1.01171474 0.00816277
2859.92944696 1.02274734 1.01328297 0.00946437
2859.94987850 1.02511583 1.01447892 0.01063691
2859.97031014 1.02612876 1.01446221 0.01166655
2859.99074188 1.02748954 1.01494816 0.01254138
2860.01117341 1.02803786 1.01483326 0.01320459
2860.03160515 1.02956070 1.01598707 0.01357364
2860.05203679 1.03085258 1.01712529 0.01372728
2860.07246832 1.03192422 1.01825422 0.01367000
2860.09290006 1.03197907 1.01869276 0.01328631
2860.11333170 1.03153544 1.01886792 0.01266752
2860.13376323 1.03089019 1.01892899 0.01196120
2860.15419497 1.02899299 1.01794272 0.01105027
2860.17462660 1.02707714 1.01691919 0.01015794
2860.19505824 1.02408607 1.01505163 0.00903444
2860.21548988 1.02106451 1.01334983 0.00771468
2860.23592151 1.01864384 1.01239262 0.00625122
2860.25635315 1.01530551 1.01061180 0.00469370
2860.27678478 1.01134282 1.00837991 0.00296291
2860.29721642 1.00846927 1.00723963 0.00122964
2860.31764805 1.00438410 1.00476904 -0.00038494
2860.33807969 1.00116130 1.00252087 -0.00135957
2860.35851132 0.99663856 0.99957949 -0.00294093
2860.37894306 0.99293312 0.99730507 -0.00437195
2860.39937459 0.98940228 0.99512917 -0.00572689
2860.41980623 0.98596935 0.99289864 -0.00692929
2860.44023796 0.98219862 0.98996045 -0.00776183
2860.46066950 0.97950602 0.98772167 -0.00821565
2860.48110113 0.97786006 0.98650603 -0.00864597
2860.52196440 0.97520379 0.98479171 -0.00958791
2860.54239603 0.97193673 0.98205271 -0.01011598
2860.56282777 0.96931561 0.97978983 -0.01047422
2860.58325930 0.96725914 0.97807691 -0.01081778
2860.60369103 0.96085220 0.97198671 -0.01113450
2860.62412267 0.93786116 0.94908736 -0.01122621
2860.64455420 0.90563728 0.91675672 -0.01111945
2860.66498593 0.87230882 0.88328543 -0.01097661
2860.68541757 0.85013189 0.86115321 -0.01102131
2860.70584920 0.84357815 0.85425184 -0.01067369
2860.72628083 0.84141935 0.85154844 -0.01012909
2860.74671246 0.84105838 0.85062591 -0.00956753
2860.76714410 0.84167191 0.85080146 -0.00912956
2860.78757573 0.84377461 0.85254047 -0.00876585
2860.80800736 0.84751377 0.85608109 -0.00856732
2860.82843899 0.85128786 0.85974783 -0.00845997
2860.84887072 0.85552720 0.86386527 -0.00833807
2860.86930226 0.87157459 0.87963619 -0.00806160
2860.88973399 0.90278950 0.91050334 -0.00771384
2860.91016562 0.93584430 0.94318894 -0.00734464
2860.93059715 0.96302458 0.96999199 -0.00696740
2860.95102888 0.97581570 0.98243151 -0.00661581
2860.97146051 0.97878977 0.98511150 -0.00632173
2860.99189205 0.98091690 0.98702736 -0.00611046
2861.01232378 0.98288964 0.98902576 -0.00613613
2861.03275531 0.98414854 0.99014595 -0.00599741
2861.05318694 0.98622272 0.99240189 -0.00617917
2861.07361867 0.98823452 0.99489882 -0.00666430
2861.09405020 0.99056983 0.99771280 -0.00714297
2861.11448183 0.99137618 0.99892350 -0.00754732
2861.13491356 0.99360355 1.00167419 -0.00807064
2861.15534509 0.99611547 1.00488995 -0.00877448
2861.17577672 0.99735704 1.00674889 -0.00939185
2861.19620845 0.99888174 1.00896510 -0.01008336
2861.21664008 1.00000067 1.01065520 -0.01065453
2861.23707171 1.00066657 1.01188815 -0.01122158
2861.25750334 1.00210965 1.01393124 -0.01182160
2861.27793497 1.00335212 1.01565427 -0.01230215
2861.29836660 1.00417261 1.01687744 -0.01270482
2861.31879823 1.00408566 1.01705192 -0.01296626
2861.33922946 1.00417755 1.01766889 -0.01349135
2861.35966119 1.00364501 1.01743317 -0.01378816
2861.38009282 1.00300619 1.01704492 -0.01403873
2861.40052434 1.00245869 1.01669820 -0.01423950
2861.42095607 1.00171133 1.01580427 -0.01409294
2861.44138770 1.00192165 1.01574542 -0.01382377
2861.46181923 1.00144448 1.01480777 -0.01336329
