#Time Flux Flux-Trend Trend
2859.76599376 -0.00039943 0.00001688 -0.00041631
2859.78642540 0.00054851 0.00072759 -0.00017908
2859.80685704 0.00163235 0.00146628 0.00016608
2859.82728867 0.00278054 0.00229934 0.00048119
2859.84772031 0.00413383 0.00322199 0.00091183
2859.86815205 0.00551826 0.00415693 0.00136133
2859.88858359 0.00684721 0.00505919 0.00178802
2859.90901523 0.00816277 0.00588797 0.00227480
2859.92944696 0.00946437 0.00673299 0.00273138
2859.94987850 0.01063691 0.00748820 0.00314871
2859.97031014 0.01166655 0.00815841 0.00350814
2859.99074188 0.01254138 0.00872090 0.00382048
2860.01117341 0.01320459 0.00916855 0.00403604
2860.03160515 0.01357364 0.00951508 0.00405856
2860.05203679 0.01372728 0.00968815 0.00403914
2860.07246832 0.01367000 0.00977745 0.00389254
2860.09290006 0.01328631 0.00960771 0.00367860
2860.11333170 0.01266752 0.00928486 0.00338266
2860.13376323 0.01196120 0.00884338 0.00311783
2860.15419497 0.01105027 0.00823754 0.00281274
2860.17462660 0.01015794 0.00760590 0.00255204
2860.19505824 0.00903444 0.00683998 0.00219446
2860.21548988 0.00771468 0.00590274 0.00181194
2860.23592151 0.00625122 0.00489487 0.00135635
2860.25635315 0.00469370 0.00377672 0.00091698
2860.27678478 0.00296291 0.00256899 0.00039392
2860.29721642 0.00122964 0.00130307 -0.00007343
2860.31764805 -0.00038494 0.00010768 -0.00049262
2860.33807969 -0.00135957 -0.00057697 -0.00078259
2860.35851132 -0.00294093 -0.00179637 -0.00114456
2860.37894306 -0.00437195 -0.00299196 -0.00137999
2860.39937459 -0.00572689 -0.00410014 -0.00162675
2860.41980623 -0.00692929 -0.00514418 -0.00178511
2860.44023796 -0.00776183 -0.00581760 -0.00194423
2860.46066950 -0.00821565 -0.00615288 -0.00206277
2860.48110113 -0.00864597 -0.00640574 -0.00224023
2860.52196440 -0.00958791 -0.00701507 -0.00257285
2860.54239603 -0.01011598 -0.00743110 -0.00268488
2860.56282777 -0.01047422 -0.00769989 -0.00277433
2860.58325930 -0.01081778 -0.00796796 -0.00284982
2860.60369103 -0.01113450 -0.00820750 -0.00292700
2860.62412267 -0.01122621 -0.00824610 -0.00298010
2860.64455420 -0.01111945 -0.00805526 -0.00306418
2860.66498593 -0.01097661 -0.00774164 -0.00323497
2860.68541757 -0.01102131 -0.00765313 -0.00336819
2860.70584920 -0.01067369 -0.00711877 -0.00355492
2860.72628083 -0.01012909 -0.00639570 -0.00373340
2860.74671246 -0.00956753 -0.00569280 -0.00387473
2860.76714410 -0.00912956 -0.00498311 -0.00414645
2860.78757573 -0.00876585 -0.00440412 -0.00436173
2860.80800736 -0.00856732 -0.00400226 -0.00456507
2860.82843899 -0.00845997 -0.00370536 -0.00475461
2860.84887072 -0.00833807 -0.00332915 -0.00500892
2860.86930226 -0.00806160 -0.00291852 -0.00514308
2860.88973399 -0.00771384 -0.00228602 -0.00542781
2860.91016562 -0.00734464 -0.00162356 -0.00572107
